ItemID,Product,Brand,SellPrice,CostPrice
120,aj-Avideo0.258540867145163,SaReXROR@Kj1([3,625,347
121,akel-info0.0323913571791321,Exa~e4sZi*|fpD<^,518,490
122,akoo-info0.773930108382962,"AkMo<XyQk1}bF#""",884,84
123,alaP-skin0.679127744772777,"Su,(k%w0Kzo^dE}w",660,426
124,alca-info0.575056617810359,"PaEhhlt""U6s0p86y",762,146
125,alej-info0.971986227692395,Exa~e4sZi*|fpD<^,1074,416
126,aleM-info0.695625181588547,AlSZ5v99il]Ropy=,1089,400
127,aleuurton0.21229946209083,saMbB&q63Gz9$5^g,555,213
128,aleZtwear0.872591236125006,AlSZ5v99il]Ropy=,753,235
129,aleilease0.470695317972046,AlSZ5v99il]Ropy=,1158,333
130,alitalbum0.739179659018495,AlYLdPQf8#/B>b[P,1022,123
131,alidtream0.488872590321873,AlX%H;d}l^!c5.A2,1172,418
132,aliSailer0.199674981817338,Tr${eq-L$R[d6j\_,1361,178
133,all_-book0.968712706227777,Al-OAUs/#RXA;qN,511,271
134,altAailer0.0530716902231319,TVhJ7pV?0zFWKy_P,1257,474
135,amah-info0.705869149441659,Ho;%K}tm`C!_rxs$,625,446
136,ama]-tech0.169814667631507,Am_vLn}4@<CF+x5j,1266,184
137,amamelter0.588499687236681,Am_vLn}4@<CF+x5j,319,158
138,amaTement0.559061805584047,Am_vLn}4@<CF+x5j,768,486
139,amarslime0.242571798703476,Am_vLn}4@<CF+x5j,312,303
140,ambIpaper0.668808452332675,"PrK4o:,^(M""#Y|yJ",183,78
141,ambeeaser0.461753901173671,CoGXb3uT&^.NE9Qn,738,482
142,ambVeaser0.96242940850095,CoGXb3uT&^.NE9Qn,1397,261
143,ambDkbook0.42129391254149,"AM%}xfy"";/}UN>8/",430,128
144,ambFshion0.881994208189021,"AM%}xfy"";/}UN>8/",1125,213
145,amcE-five0.306836649948665,"AMAx0pz)~n[y2o,.",218,216
146,ame`turns0.653749599037474,FX#st>L'hld'ZB4,967,343
147,amiXkbook0.290484376033322,Amk+bi$)BR;&||\9,598,76
148,anaO-info0.343405241491463,"Ic[K%zJn|sXWVPs,",741,89
149,andjkbook0.333677363163333,"Anu""hUs0[TZv?dV}",265,221
150,and[lease0.102379537371753,SSJ%#@$7LTf<p'Jx,1568,424
151,andzation0.353677609438873,"Ph,getRZ~~nFr2G",898,76
152,and^-info0.757375263245494,Me)=j(k#pe;yd0FE,937,311
153,aneK-info0.906188194587659,Lo:}7^:YFSc4xYIs,457,139
154,anizlease0.473664376293427,WaQqK)2JxI(=dac=,897,446
155,ann_-week0.687216225725901,AnLvk)dDI>PoT&=I,895,136
156,anox-look0.0857002324586725,NiPea$n|Eu@<@>'L,1354,308
157,antAition0.243889368257074,AnZVx3@XBil^QH>w,268,54
158,apewenant0.330009737626248,Ga?%G!/m1PzuNFtA,488,171
159,appIecord0.134254798434252,Ap!FulqmT[82a2/E,1085,139
160,appBuawei0.222628572228948,Sa?9zXUH5iJbuE'S,413,193
161,appnrumor0.057640979209829,Ap!FulqmT[82a2/E,813,445
162,appa-free0.545594617095273,Ap!FulqmT[82a2/E,1365,291
163,appMn-usd0.284138838758011,MiUNo1$pZkrlcw>M,526,55
164,appochpad0.75648632419466,Ap!FulqmT[82a2/E,788,495
165,apptvideo0.357957296499754,Ap!FulqmT[82a2/E,567,263
166,appw-beta0.831301248988612,Ap!FulqmT[82a2/E,1012,62
167,appF-info0.0277745372005302,Ap!FulqmT[82a2/E,966,335
168,appWtalog0.243045491974961,Ap!FulqmT[82a2/E,1046,82
169,app`-info0.171906131223281,Ap!FulqmT[82a2/E,488,448
170,appv-20200.305019315390714,Ap!FulqmT[82a2/E,1220,211
171,appg-mode0.485617054579126,Ap!FulqmT[82a2/E,886,335
172,appgenney0.879632837456074,Tr${eq-L$R[d6j\_,436,56
173,arc^inets0.715391933012044,Ga?%G!/m1PzuNFtA,717,292
174,arc`-20200.532662257026577,Ga?%G!/m1PzuNFtA,1101,379
175,arcikbook0.70816849126636,"AR""#icd=!jp8zNsW",492,272
176,arcy-info0.633432377149619,Sw{:DCFXbaj921jz,1062,275
177,ariGtails0.756461927471729,Arya6d`[aA17e?S9,479,344
178,arsc-info0.695714239368479,Phlkm9fkpdb+WHbM,653,480
179,art`-info0.147026419197766,Ar&FYei@3sx%Y&ec,258,115
180,artjriner0.183950395687591,Ro7|R40![FY$PS`<,1300,205
181,as-deaway0.358210268825853,NiPea$n|Eu@<@>'L,566,110
182,asaetream0.460401581245362,A$XwQKiqX%=Iz#g_,508,273
183,asiTlease0.705058594091643,AS&imOs*;/:L*GK,856,131
184,asiv-info0.252605076919683,AS&imOs*;/:L*GK,579,282
185,asiH-info0.674532322291194,AS&imOs*;/:L*GK,309,111
186,asi\-info0.928990542940937,AS&imOs*;/:L*GK,1164,474
187,astPopter0.935722956579507,AsmX+CMHEp.5M5h,518,314
188,astxt-2-20.103985073001822,AsmX+CMHEp.5M5h,1140,471
189,ast`-look0.766729246557135,HumeTuQQX]{Zf9mT,1364,308
190,asujaptop0.849509347239884,Ga?%G!/m1PzuNFtA,669,487
191,ataphemed0.204160783079883,Ho;%K}tm`C!_rxs$,1138,458
192,atlilover0.0387016733433839,Do4^tS&NhG7EIN|y,1023,84
193,audE-info0.884915261087885,"Ac8IJsKH,4xtY.Tk",1204,109
194,audt-20200.50169590527657,Au+7+\EII)eJWY'c,621,379
195,audVebach0.306974390583826,Au+7+\EII)eJWY'c,522,309
196,aurC-20200.363407273992269,Nes[8ukT8KBR8yVs,1340,426
197,ausD-info0.163402340542093,Ro0rrfH1%O['J=dU,333,57
198,aveKpdate0.444627095993623,AvgmQ1_]m!oC#2oG,807,44
199,awab-info0.0987309834705432,Ca9NuXHDqc7-!7Te,503,189
200,awadomber0.567413623251246,"DoX*,VXLZXc{.+r",188,50
201,awak-info0.800009689347671,TidqFHDuyvBhOP7D,1287,340
202,bab_-info0.611172059196881,St6{Rrn)0w|WM/ep,1242,409
203,baboorian0.108183151678962,St6{Rrn)0w|WM/ep,870,366
204,bacU-week0.242591209251646,"PaEhhlt""U6s0p86y",862,69
205,badpirmed0.996158030735068,So)zm5Pl^_G5t?q,985,44
206,badXisten0.224515998806636,"Koa;DCfb'g~Wj""+b",1047,470
207,baiXpsule0.236876019278184,PaasB'\_LlDEk`=W,885,494
208,balRlease0.325618913219181,"Ba[fUm2df\r2\%""}",786,50
209,balKction0.668289161219555,"Ba[fUm2df\r2\%""}",1078,266
210,balorways0.782224041396716,"Ba[fUm2df\r2\%""}",841,488
211,baljation0.587834493215675,"PaEhhlt""U6s0p86y",309,147
212,bal\video0.455686942383408,VipZx1>S^s?}%X(},898,349
213,banglease0.759509293291899,"Gu3iD<H.,OIEQ@s\",627,462
214,banchones0.376633415150044,BafBoyJlfeePB|)e,276,178
215,bap_-info0.333261674787225,BAR;zv`u}-Qv\!!6,843,281
216,bapLocket0.757790421536561,"Ac8IJsKH,4xtY.Tk",1212,121
217,bap[-info0.688051654794291,"Ac8IJsKH,4xtY.Tk",807,114
218,bap[-info0.546688390424579,"Al1(Nd1K!q;<7,v=",456,493
219,bapV-info0.0280671029382555,BAR;zv`u}-Qv\!!6,296,244
220,bapk-info0.89090662586632,De|>4)RFhlZ0^Fl&,870,485
221,bapD-20200.00903486941439313,BAR;zv`u}-Qv\!!6,691,466
222,bapC-info0.403104230270414,BAR;zv`u}-Qv\!!6,1388,497
223,bapwlease0.263633660799238,BAR;zv`u}-Qv\!!6,402,203
224,bapjlease0.775773774600908,BAR;zv`u}-Qv\!!6,1086,143
225,bapc-info0.429629283132395,"Relp\+KJ?D,cWw0P",895,453
226,bapslease0.0922388553401066,"Ac8IJsKH,4xtY.Tk",179,147
227,bapHation0.374132073626277,BAR;zv`u}-Qv\!!6,663,363
228,baps-camo0.652063785985546,WaQqK)2JxI(=dac=,600,102
229,barLdates0.855017889180512,Ke!KfF+SB(po;p<,522,250
230,barmeague0.879598454464862,"Fo7kko'6z""5EpvSo",885,141
231,barPlaims0.943190206347334,Ba*IJMIbgOy6_!7,953,402
232,barc-info0.437096717653225,"BaB,aUE@w=Ny5%o,",1079,77
233,basgalker0.380822434713729,ML3@'~-p]A4z$+0j,502,198
234,bbcy-info0.855542917977241,"Relp\+KJ?D,cWw0P",1168,53
235,beaeusive0.413901910567885,ad(;%f6iD'}9EHD[,294,289
236,beacrview0.593142740044847,"St:>GOHsg}8;LC""8",1283,62
237,beaN-info0.255597800540412,"Vag9""-Z=gN30ND@[",504,228
238,ben]-kiki0.525882526362496,Tax<D<H{`t:I^{4*,507,499
239,benM-info0.544776332816896,Gu?KKJG<Lyowzgk,1306,330
240,ben`lease0.214721665563047,Ne=:l%8x/P<_.o/U,1114,239
241,benZtkins0.668926705168607,BB[q8*6$NM6cub(y,238,79
242,benY-info0.73640131316904,Mis2l20eDc27\glH,675,418
243,benf-info0.182010859246388,BeO<^<1P<+7XQ.xo,1345,397
244,benyition0.780375924430693,BeO<^<1P<+7XQ.xo,997,150
245,bert-week0.06653589066777,"PaEhhlt""U6s0p86y",1400,226
246,ber^ssche0.263054033036266,KrqJ;uC\bx2LeN=K,712,394
247,besLeek-10.758444890796981,Tax<D<H{`t:I^{4*,1042,129
248,besFeek-20.520020274036062,Me)=j(k#pe;yd0FE,1258,405
249,besieek-30.074767367814233,Kaemj:V;+O6cOHt6,1028,429
250,besKeek-40.553973514016814,Me)=j(k#pe;yd0FE,876,454
251,besQvideo0.865770303214297,BeZ:bG'Lh>.r*Bk/,1112,362
252,besUsacai0.737247183197386,NiPea$n|Eu@<@>'L,1352,123
253,besIx-a240.106188080802233,"MouDd/fn,XEARhBp",1205,232
254,besVdrake0.469608116595474,Ki)a4.*Ux^KO4LC),709,163
255,besekrule0.334043134540728,Ma;0u$7Q)m)!0w@H,364,280
256,besXricch0.831581618390264,Dr|vm[-5p~56Y\mk,448,455
257,besabunny0.732056577659044,Lif{`7C#WQ2%bI.h,1095,246
258,besk-vans0.295626401488679,PeAyoBX`jIs-PS9:,659,145
259,besn-20200.44061627930164,"Uny~Y,~<rTC^J6py",1137,386
260,besBlness0.254411296274409,NiPea$n|Eu@<@>'L,678,127
261,besHeek-30.537171140924791,NiPea$n|Eu@<@>'L,831,383
262,besueek-40.681226768321215,NiPea$n|Eu@<@>'L,812,111
263,besBk-2-20.325748873976944,NiPea$n|Eu@<@>'L,1171,330
264,besx-17000.0651189674245414,NiPea$n|Eu@<@>'L,350,319
265,betMtches0.998195214988137,WaQqK)2JxI(=dac=,746,145
266,beyzeaser0.193577532769383,ad(;%f6iD'}9EHD[,1003,317
267,beyDrillz0.405553625274785,ad(;%f6iD'}9EHD[,640,126
268,beyO-info0.156715619383558,ad(;%f6iD'}9EHD[,526,453
269,beyH-look0.350776869470168,ad(;%f6iD'}9EHD[,867,366
270,bil_video0.727793176413062,VipZx1>S^s?}%X(},586,466
271,bilQ-song0.772820716385615,"Ja9<1F2\::?C,$Z=",1130,450
272,bilDlease0.215161974073903,"Relp\+KJ?D,cWw0P",1156,272
273,biln-info0.587866560814737,"Relp\+KJ?D,cWw0P",1181,76
274,bilQlease0.831936773238689,Bi>PkL;d-&lO%vQ\,195,115
275,birJailer0.87243251801021,Tr${eq-L$R[d6j\_,622,348
276,bjouhotel0.403809091936721,MiUNo1$pZkrlcw>M,1360,377
277,blaecloud0.27386539326154,Blt1i'Ad_K((FHI,918,135
278,blaEmance0.273444866886783,ThD-$sB;o)n;TcIm,1193,404
279,bla]-pugh0.507994944398781,"MouDd/fn,XEARhBp",1219,315
280,blablease0.0316086333825779,"Ac8IJsKH,4xtY.Tk",872,445
281,blaFkbook0.919279531001779,Lo:}7^:YFSc4xYIs,1064,376
282,bligrship0.348180770704294,BloTC6iRhLhvHOzY,581,147
283,blopvideo0.67317091233294,VipZx1>S^s?}%X(},600,207
284,bloMvideo0.229080194598855,"muy(D#""d02`vwt_^",1386,350
285,bluaailer0.411551504235543,MinNdGM*9/~Z~Euc,504,297
286,bmwNn-usd0.708567637085631,"BMh._Fx~""+dbZy|,",1000,71
287,bodz-week0.571036721798873,"PaEhhlt""U6s0p86y",444,220
288,bodYlease0.079991689653245,ousyoVw0)0_(s^7,1131,430
289,bonS-20200.885117883989691,Bot{7E=+=Q!r4c'+,1227,81
290,bonZvideo0.54501807105413,BoAbns.V'7F{N/ji,887,191
291,bonkrumor0.820074510958196,HB?H:J^S0~R&dr'k,1187,421
292,bonWmckay0.745153062729155,HB?H:J^S0~R&dr'k,608,187
293,bonv-neon0.995516390096429,Bo_*mw`!NbE/zn~a,563,47
294,bone-thug0.274719796045914,Bo~UnatKo7wrUg3,478,428
295,boob-info0.69600740802536,"BoJmlDA""J>GDp<X=",1332,213
296,bosoyoffs0.10483359921969,Bo.|d6@}x8<<Tjx,1187,217
297,bosK-code0.827697091559286,Ro'Bl~w039rScH^|,1069,93
298,botSlease0.52785537867975,"Ac8IJsKH,4xtY.Tk",484,380
299,brav-info0.0518860159844904,Exa~e4sZi*|fpD<^,764,238
300,brav-info0.596140500436276,Exa~e4sZi*|fpD<^,586,267
301,braAnalty0.00858911912080551,"FaF""h2k2):kN8yS8",1055,92
302,breOetals0.978914982587265,"Br|d#9""fZwR|o^i~",766,445
303,broQtream0.293478512735409,BrZf&<X[w<X}5`%,749,427
304,brot-gala0.836207946484437,"De,SFj:PJ,$A""cS",1153,91
305,brob-info0.711094983611213,Br$g.c1o-S9Pq\0C,325,166
306,brywtream0.316049937208407,Lii4tS%~AUJ1})d',1207,386
307,btsJoject0.953762250848483,ZaC0%XV+7F*PCr@P,1191,473
308,buiv-info0.438201538757597,"To{he^Wb.xvE#E},",1155,455
309,bunLvideo0.238238059979962,"BuQHv|n:jZ[n""dS'",362,328
310,burIacket0.75628699941635,BuFAFPk%uWPH=%>[,766,455
311,burYttern0.566166562104634,BuFAFPk%uWPH=%>[,728,407
312,burDlease0.545848019111301,"Ac8IJsKH,4xtY.Tk",1066,148
313,burYlease0.000597052655825103,BuFAFPk%uWPH=%>[,338,176
314,burditors0.0779799092146597,"JoZ8Rw*(HZY,C[`W",965,208
315,burZvideo0.845275213835819,VipZx1>S^s?}%X(},510,389
316,burPeveal0.916468647383078,"InKaoNm:""0D0du6=",1588,428
317,buyAitton0.681544025425604,Br0Aza@`0k<LPOVi,808,392
318,by-qlease0.398385586641676,MAy$5[&M\xyZ16S~,792,42
319,by-didery0.202312133558188,JarvS%7VYQ/zq*R),1263,235
320,bybIsdijk0.748279983482457,"PaEhhlt""U6s0p86y",412,241
321,byruction0.127329584725534,Jex`2KBPsj*XwM_,154,68
322,c2h^ction0.796955982418164,"Al1(Nd1K!q;<7,v=",1103,253
323,cal[-info0.853207197316172,Ca<WQ$*V1bo%{vw|,310,194
324,camZ-info0.765013850745534,Cor@Q'R\w5wGe}S&,1181,46
325,canm-info0.892489821255232,"CanI!>\Hx741&,4O",1110,118
326,cannabloh0.140039962002156,"HaR,<:]\BuY*t3F;",1101,490
327,capf-info0.519078364039515,"Ca2,PZ{7`=@vzZB.",342,120
328,capalease0.677425183475359,"CawBG/H/@RI""6pH4",83,62
329,carE-news0.42049938865618,"La+e?@1Ctw^AR!""}",603,107
330,carYlated0.878357096126752,"Cau^+UP\v""3\5jS2",381,47
331,cas[-week0.899722413812047,"PaEhhlt""U6s0p86y",550,358
332,casEvideo0.289925821140322,YoezOGXvGA4D(L3,641,131
333,casoition0.824473239409891,Can(SIxSzwaCMwmb,401,58
334,cavjlease0.273675560239683,Sk/<*KO~1JT=abjp,750,428
335,cavDlease0.396688946093394,C.$}szSfu_>|U}D6,853,377
336,cav[lease0.0929447242327043,Sk/<*KO~1JT=abjp,393,261
337,cavBlease0.017645407916462,C.$}szSfu_>|U}D6,411,113
338,cavTkbook0.880348285249462,Sk/<*KO~1JT=abjp,403,249
339,cavS-musk0.533690445182038,CaPnB;|9]$dZqXu.,915,415
340,ceco-info0.34978588340525,VeVU@Icou&5D4dJ2,730,472
341,chafement0.494128121054769,"Ph,getRZ~~nFr2G",383,96
342,chaDkbook0.401519495541205,Ch&5yYF;ekC;2=q,1073,249
343,chaIeboot0.46893727716933,"MTt""VR{'vhuL$=.\",594,261
344,cheweetle0.0290333088132755,Chy_f-B)G!i#fSWX,930,439
345,chiK-info0.876150921325868,"ChVoYfd"";k\&@}LC",672,269
346,chi^ailer0.928843402383414,Tr${eq-L$R[d6j\_,552,372
347,chiulease0.167867899370301,Jex`2KBPsj*XwM_,220,354
348,chiY-info0.917162141242493,PU]vXmX9fgf$xf!/,1159,250
349,chiFe-rat0.0990247056927831,NiPea$n|Eu@<@>'L,1052,127
350,chi_-nike0.941439080562812,NiPea$n|Eu@<@>'L,652,73
351,chrevideo0.108014789429321,VipZx1>S^s?}%X(},1042,438
352,chrUrumor0.784919078952733,"MouDd/fn,XEARhBp",735,426
353,chrvworks0.140007369212592,Kaemj:V;+O6cOHt6,566,302
354,chuBlease0.850010236272601,KiWX-3m!Zu6m43NT,402,242
355,cindworks0.344959102141679,Lo`oaX!JFEv=Gucq,131,50
356,claSlease0.44119514144081,ClIY{u@(&ZJy7^EH,624,233
357,cliltilts0.383108349406603,AryYV46O9(Znn]88,1392,445
358,cloZ-info0.857422350589565,CLsuNAO(!/-ZWsM,568,323
359,clodlease0.415980556159322,"Ac8IJsKH,4xtY.Tk",1193,398
360,cloQ-date0.266674990170816,NiPea$n|Eu@<@>'L,724,323
361,cloClease0.0852145129009851,NiPea$n|Eu@<@>'L,308,192
362,cmm]-week0.0601784377321003,"PaEhhlt""U6s0p86y",1351,291
363,coabealed0.860147278028978,CoT;d~47KEqB^fhD,1220,283
364,cocO-info0.829316204126699,Cor@Q'R\w5wGe}S&,1073,433
365,cocwlease0.256552186892502,Cor@Q'R\w5wGe}S&,1200,264
366,colo-fair0.821769458742123,COP1s[&>r;ou(H(T,672,382
367,comIummer0.530572030370385,Do%/7O'*gTm#xJ<,757,309
368,comQ-look0.216633370612671,NiPea$n|Eu@<@>'L,684,312
369,comh-week0.130836747473471,Coi%hNfxcpJXpz^s,962,291
370,comslease0.646080091260072,Coi%hNfxcpJXpz^s,599,326
371,coml-info0.426850943552996,NiPea$n|Eu@<@>'L,784,177
372,comnlease0.558094721119501,"Ac8IJsKH,4xtY.Tk",1055,312
373,comxasics0.32391271137424,"Re""7%Y|s-dq$@Q0:",1152,247
374,coml-look0.431708272761756,"StVD}k9va/,$huE}",1086,391
375,comRlease0.208296881047685,"StVD}k9va/,$huE}",919,142
376,comGlease0.154280532168053,"Ac8IJsKH,4xtY.Tk",386,222
377,conGvideo0.247227262377849,"mm'&d(f:D=Wrl)""O",845,392
378,conVrrone0.231126047153688,"mm'&d(f:D=Wrl)""O",1062,369
379,con^-info0.966142412641823,NiPea$n|Eu@<@>'L,1049,386
380,cond8112c0.717474975564992,CoGXb3uT&^.NE9Qn,326,277
381,conE-info0.126958070952462,CoGXb3uT&^.NE9Qn,1516,491
382,conc-info0.977921504384835,CoGXb3uT&^.NE9Qn,673,387
383,con]usive0.79182415414408,CoGXb3uT&^.NE9Qn,631,245
384,conswhite0.132520779092225,CoGXb3uT&^.NE9Qn,672,416
